customer_id,total_orders,total_products_bought,total_spend_tl,tenure_bucket,est_returns,has_returned
T10002,2,3,2731.4,>3yr,0,False
T10008,4,134,8537.99,>3yr,0,False
T1002,2,3,4234.0,>3yr,0,False
T10060,4,4,10434.45,>3yr,0,False
T10061,34,494,56770.06,>3yr,0,False
T10081,3,8,13326.61,>3yr,0,False
T1009,3,18,2561.83,>3yr,0,False
T10094,100,152,140343.91,>3yr,0,False
T1010,2,22,2249.94,>3yr,0,False
T10102,3,16,995.4,>3yr,0,False
T10116,1,1,4585.6,>3yr,0,False
T1012,4,18,38825.5,>3yr,0,False
T10121,8,54,9236.32,>3yr,0,False
T10128,3,10,7930.9,>3yr,0,False
T10149,10,16,30291.09,>3yr,0,False
T10152,2,2,9555.0,>3yr,0,False
T10157,6,11,1831.76,>3yr,0,False
T10171,2,20,2481.99,>3yr,0,False
T10174,6,9,20678.0,>3yr,0,False
T10175,3,14,1497.74,>3yr,0,False
T10176,2,2,630.88,>3yr,0,False
T10193,5,15,18979.4,>3yr,0,False
T10229,3,3,7901.15,>3yr,0,False
T10257,64,656,55045.22,>3yr,0,False
T10275,2,7,470.2,>3yr,0,False
T10294,3,6,6312.0,>3yr,0,False
T10297,1,1,5840.0,>3yr,0,False
T10327,7,57,4070.73,>3yr,0,False
T10328,5,25,6714.06,>3yr,0,False
T1034,4,2,3843.0,>3yr,2,True
T10349,2,72,5583.6,>3yr,0,False
T10370,3,3,8238.0,>3yr,0,False
T10371,8,31,3942.5,>3yr,0,False
T10402,5,32,3132.74,>3yr,0,False
T10406,11,52,7456.09,>3yr,0,False
T10414,7,48,3538.65,>3yr,0,False
T10429,9,15,23913.6,>3yr,0,False
T10460,2,3,6107.0,>3yr,0,False
T10464,12,12,57544.0,>3yr,0,False
T10477,17,29,28141.78,>3yr,0,False
T10480,5,59,5592.44,>3yr,0,False
T10506,18,28,59767.28,>3yr,0,False
T10525,9,18,17544.66,>3yr,0,False
T10543,3,5,9682.8,>3yr,0,False
T10574,6,6,34193.95,>3yr,0,False
T1058,21,737,37172.68,>3yr,0,False
T10613,2,3,2988.5,>3yr,0,False
T10616,1,31,5743.14,>3yr,0,False
T10634,12,23,29255.45,>3yr,0,False
T10650,2,5,742.74,>3yr,0,False
T10663,4,16,3101.05,>3yr,0,False
T10674,12,11,36136.95,>3yr,1,True
T1070,5,9,6449.07,>3yr,0,False
T10711,2,12,3024.49,>3yr,0,False
T1073,9,14,14247.75,>3yr,0,False
T10733,10,28,18529.96,>3yr,0,False
T10749,64,641,65979.84,>3yr,0,False
T10759,5,7,8149.39,>3yr,0,False
T10773,1,4,426.32,>3yr,0,False
T10781,2,6,638.63,>3yr,0,False
T10788,2,5,2758.45,>3yr,0,False
T10799,3,3,4019.0,>3yr,0,False
T10815,19,333,45133.49,>3yr,0,False
T10818,4,11,817.55,>3yr,0,False
T10819,1,2,3835.0,>3yr,0,False
T10829,2,21,1275.09,>3yr,0,False
T10842,19,39,60912.62,>3yr,0,False
T10861,3,7,14936.25,>3yr,0,False
T10899,16,95,23320.46,>3yr,0,False
T10911,72,1062,106622.78,>3yr,0,False
