product_name,product_code,category_main,category_mid,category_sub,full_path,price_original,price_discounted,brand,discount_pct,price_anomaly,ever_purchased
Sesu Sir Ağda Bantları Normal Tüyler 12'li,24568,Kişisel Bakım,Epilasyon Ürünleri,Ağda Bantları,Kişisel Bakım > Epilasyon Ürünleri > Ağda Bantları,0.0,0.0,Sesu,0.0,False,False
Sesu Vücut Ağda Bandı Kalın Tüy 12'li,24569,Kişisel Bakım,Epilasyon Ürünleri,Ağda Bantları,Kişisel Bakım > Epilasyon Ürünleri > Ağda Bantları,0.0,0.0,Sesu,0.0,False,False
YSL La Vestiaire Universite Unisex Parfüm Edp 125 ML,117829,Parfüm,Unisex Parfüm,EDP Parfüm,Parfüm > Unisex Parfüm >EDP Parfüm,0.0,0.0,YSL,0.0,False,False
Pastel Show By Eyeliner 124,1458-907,Makyaj,Göz,Eyeliner,Makyaj > Göz > Eyeliner,0.0,0.0,Pastel,0.0,False,False
L'Oréal Paris Infaillible 24H Matte Cover Foundation 200 Golden Sand,1135-1044,Makyaj,Yüz,Fondöten,Makyaj > Yüz > Fondöten,0.0,0.0,Loreal Paris Makyaj,0.0,False,True
L'Oréal Paris Infaillible 24H Matte Cover Foundation 175 Sable/Sand,1135-985,Makyaj,Yüz,Fondöten,Makyaj > Yüz > Fondöten,0.0,0.0,Loreal Paris Makyaj,0.0,False,True
Flormar Invisible Cover Hd Foundation 90 Golden Neutral,743-2390,Makyaj,Yüz,Fondöten,Makyaj > Yüz > Fondöten,0.0,0.0,Flormar,0.0,False,True
Dior Diorshow Mono Couleur Couture Eyeshadow 240 Denim,247-1156,Makyaj,Göz,Göz Farı,Makyaj > Göz > Göz Farı,0.0,0.0,Dior,0.0,False,True
Dior Solar The After Sun Balm 150 Ml,128181,Kişisel Bakım,,Güneş Ürünleri,Kişisel Bakım >Güneş Ürünleri,0.0,0.0,Dior,0.0,False,False
Garnier Nem Bombası Yorgunluk Karşıtı Kağıt Yüz Maskesi,108718,Cilt Bakım,,Maskeler,Cilt Bakım > Maskeler,0.0,0.0,Garnier Cilt,0.0,False,False
Lancome Rose Unisex Roll-On 50 Ml,34344,Parfüm,Unisex Parfüm,Roll-On,Parfüm > Unisex Parfüm >Roll-On,0.0,0.0,Lancome,0.0,False,False
Dior Addict Lip Glow Lip Balm 004,201-176,Makyaj,Dudak,Ruj,Makyaj > Dudak > Ruj,0.0,0.0,Dior,0.0,False,True
Urban Care Argan Oil&Keratin 2 Minute Butter Saç Bakım Kürü 200 Ml,108129,Saç Bakım,Saç Bakım Ürünleri,Saç Kremi,Saç Bakım > Saç Bakım Ürünleri > Saç Kremi,0.0,0.0,Urban Care,0.0,False,False
L'Oréal Paris Elseve Arginine Direnç x3 Dökülme Karşıtı Bakım Kremi 450 Ml,109246,Saç Bakım,Saç Bakım Ürünleri,Saç Kremi,Saç Bakım > Saç Bakım Ürünleri > Saç Kremi,0.0,0.0,Loreal Paris Elseve,0.0,False,False
